item_id,item_material,item_num,item_length,item_width,item_
321,YTM-0218S,1,998,357,55
322,MNH-0218S,1,762,258,155
323,MNH-0218S,1,685,632,151
324,MNH-0225S,1,1318,398,107
325,MNH-0218S,1,1978,598,110
326,YTM-0218S,1,1328,822,265
327,YTM-0218S,1,385,328,268
328,YTM-0215S,1,2231,905,117
329,MNH-0218S,1,232,290,310
330,MNH-0218S,1,366,324.5,40
331,XXB-0218S,1,493.5,513,55
332,XXB-0218S,1,474.5,520,356
333,YSH-0218S,1,823,454.5,362
334,MNH-0218SD,1,2406,300,362
335,YTM-0215S,1,2051,489,55
336,MNH-0218SD,1,728,148,150
337,MNH-0215S,1,288,78,104
338,MNH-0218S,1,850,360,107
339,MNH-0215S,1,288,78,325
340,QKQ-0218S,1,694,537,329
341,YTM-0218S,1,580,342,117
342,MNH-0218SD,1,420,58,62
343,MNH-0218S,1,406,518,138
344,MNH-0218S,1,1198,498,250
345,MNH-0218S,1,755,301,59
346,MNH-0215S,1,2111,692,150
347,MNH-0218SD,1,449,58,184
348,MNH-0218S,1,2198,348,184
349,MNH-0218S,1,419.5,557,33
350,MNH-0218S,1,690.5,394,151
351,MNH-0218S,1,720,194,43
352,MNH-0218S,1,599.5,58,227
353,MNH-0218S,1,701,389,300
354,YSH-0218S,1,553,218.5,107
355,YTM-0218S,1,415,558,329
356,YTM-0218S,1,1819.5,297,21
357,MNH-0218S,1,794.5,377,303
358,YTM-0215S,1,1643,372.5,56
359,MNH-0218S,1,712,161,58
360,MNH-0215S,1,488,78,154
361,MNH-0215S,1,630,92.5,43
362,MNH-0215S,1,2061,1021,356
363,MNH-0218S,1,822,58,358
364,MNH-0218S,1,1198,38,358
365,MNH-0218S,1,773,557.5,237
366,MNH-0218S,1,498.5,577,104
367,MNH-0215S,1,1282,348,107
368,MNH-0218S,1,496,379,110
369,MNH-0218S,1,361,408,184
370,MNH-0218S,1,861,742,182
371,YTM-0218S,1,857,38,268
372,YTM-0218S,1,375,278,21
373,MNH-0218S,1,462,379,308
374,MNH-0218S,1,817.5,58,309
375,MNH-0218S,1,1384,58,303
376,MNH-0218S,1,990,58,379
377,MNH-0218S,1,962,357,324
378,MNH-0218S,1,762,293.5,31
379,MNH-0215S,1,655,92.5,30
380,MNH-0218SD,1,2406,300,362
381,QKQ-0218S,1,1163,58,377
382,MNH-0218S,1,198,318,58
383,MNH-0218S,1,601,315,148
384,XXB-0218S,1,441,419,153
385,MNH-0218S,1,720,194,43
386,YTM-0218S,1,522,401,329
387,YTM-0218S,1,327,383,265
388,YTM-0218S,1,1237,58,265
389,YTM-0218S,1,812,555,269
390,YTM-0218S,1,812,536,269
391,YTM-0218S,1,2375,985,269
392,YTM-0218S,1,762,577,17
393,MNH-0218S,1,722,296,110
394,YTM-0218S,1,504,401,329
395,NJYH-0215S,1,546,339,328
396,MNH-0218S,1,859,83,184
397,NDSF-0218S,1,373,138.5,33
398,MNH-0215S,1,761.5,912,182
399,MNH-0218SD,1,279,58,149
400,MNH-0218S,1,413,298,149
401,MNH-0218SD,1,2403,58,153
402,MNH-0215S,1,583,489,154
403,MNH-0218S,1,1282,379,107
404,MNH-0225S,1,2178,88,110
405,XXB-0218S,1,2298,578,118
406,MNH-0218S,1,1011,548,29
407,MNH-0218S,1,279,38,380
408,MNH-0218S,1,2398,340,40
409,MNH-0218S,1,1002,429,138
410,MNH-0218S,1,2363,98,148
411,YTM-0218S,1,1221,197,265
412,YTM-0218S,1,804,327,265
413,YTM-0218S,1,948,558,266
414,YTM-0218S,1,381,621,115
415,XXB-0218S,1,2189,421,306
416,MNH-0218S,1,787,274,307
417,MNH-0215S,1,288,118,31
418,MNH-0218S,1,842,588,359
419,MNH-0218S,1,577,38,362
420,MNH-0218S,1,687,277,43
421,MNH-0215S,1,359.5,1132,237
422,MNH-0218S,1,361,538,104
423,MNH-0218S,1,667,429,326
424,MNH-0218S,1,198,328,325
425,MNH-0215S,1,210.5,606,328
426,YTM-0225S,1,489,338,55
427,YTM-0218S,1,479.5,357,55
428,MNH-0218S,1,662,336,60
429,MNH-0218S,1,202,277,150
430,MNH-0218S,1,1550,273,156
431,MNH-0215S,1,238,118,43
432,MNH-0218S,1,798,275,307
433,MNH-0218S,1,977,223,378
434,XXB-0218S,1,1093,595,39
435,XXB-0215S,1,488,238,39
436,MNH-0218S,1,2080,268.5,62
437,YTM-0218S,1,498,358,55
438,YTM-0218S,1,298,578,272
439,YTM-0215S,1,971,221.5,19
440,YTM-0218S,1,512,58,118
441,YTM-0218S,1,421,340,117
442,MNH-0218S,1,2318,580,299
443,MNH-0218SD,1,400,58,62
444,QKQ-0218S,1,694,537,329
445,MNH-0215S,1,1061,496,110
446,MNH-0215S,1,388,78,33
447,MNH-0225S,1,2223,298,30
448,MNH-0218S,1,391,392,32
449,MNH-0218S,1,894,385,182
450,MNH-0218SD,1,388,58,61
451,MNH-0218S,1,608,381,333
452,MNH-0218S,1,311,260.5,156
453,MNH-0218S,1,527,58,153
454,MNH-0215S,1,486.5,897.5,326
455,MNH-0218S,1,667,429,326
456,YTM-0218S,1,821,58,268
457,YTM-0218S,1,1063,366,268
458,YTM-0215S,1,402.5,1062,18
459,5-0218S,1,315,434,21
460,MNH-0218S,1,961,849.5,306
461,MNH-0218S,1,721,248,306
462,YTM-0218S,1,698,402,329
463,NJYH-0218S,1,1893,398,328
464,NJYH-0215S,1,546,339,328
465,MNH-0218S,1,444,538,33
466,MNH-0218S,1,732,449,260
467,MNH-0218S,1,892,267,99
468,MNH-0218S,1,2252,558,156
469,MNH-0218SD,1,1132,557,237
470,MNH-0218S,1,762,574,104
471,MNH-0218S,1,746,560,108
472,MNH-0215S,1,2063,1179,326
473,MNH-0215S,1,612.5,289,325
474,MNH-0225S,1,1224,328,310
475,MNH-0218S,1,711,369,310
476,MNH-0215S,1,488,118,29
477,MNH-0218S,1,355,326,381
478,MNH-0218S,1,486,218.5,62
479,MNH-0218S,1,851,58,60
480,XXB-0215S,1,288,78,306
481,MNH-0215S,1,558,717.5,309
482,MNH-0218S,1,1384,377,303
483,NJYH-0215S,1,287.5,92.5,303
484,QKQ-0218S,1,431,670,61
485,MNH-0218S,1,1998,38,138
486,PKQL-0418S,1,759.5,394,31
487,MNH-0218S,1,840,38,182
488,PSXH-0418SD,1,2403,424,358
489,MNH-0218S,1,2303,335,148
490,MNH-0215S,1,488,118,237
491,MNH-0215S,1,488,118,237
492,QKQ-0215S,1,338,238,329
493,YTM-0218S,1,504,401,329
494,NJYH-0218S,1,865,494,324
495,YTM-0218S,1,948,558,266
496,MNH-0218S,1,411,360,308
497,MNH-0218S,1,280,329.5,311
498,MNH-0218S,1,681,358,303
499,MNH-0218S,1,279,38,380
500,MNH-0218S,1,2083,643,154
501,XXB-0215S,1,338,198,227
502,MNH-0215S,1,115,598,104
503,YTM-0218S,1,898,402,329
504,MNH-0218S,1,1094,520,110
505,MNH-0218SD,1,1753,58,33
506,MNH-0215S,1,2309,962,362
507,YTM-0215S,1,715,289,270
508,YTM-0215S,1,551.5,52.5,265
509,YTM-0218S,1,1062,379,18
510,5-0218S,1,2174,395,17
511,YTM-0218S,1,738,498,21
512,YTM-0218S,1,342,58,118
513,MNH-0218S,1,502,58,237
514,MNH-0218S,1,428,329,32
516,MNH-0218S,1,1780.5,553,357
517,MNH-0218S,1,787,274,307
518,XXB-0218S,1,808,391.5,310
519,MNH-0218SD,1,359,58,299
520,MNH-0218S,1,1970,598,39
521,MNH-0218S,1,278,154.5,295
522,MNH-0218S,1,1520,58,59
523,YTM-0218S,1,637,198,269
524,YTM-0215S,1,438,238,21
525,YTM-0218S,1,352,579,16
526,XXB-0218S,1,2214,500,118
527,MNH-0218S,1,158,380,306
528,CBZP-0218S,1,261,327,310
529,MNH-0218S,1,347,340,299
530,MNH-0218S,1,472,410,326
531,MNH-0215S,1,1248,88,34
532,MNH-0218S,1,1560,58,31
533,MNH-0218S,1,971,662,303
534,QKQ-0215S,1,443,92.5,379
535,MNH-0218S,1,562,339,39
536,MNH-0218S,1,571,741,59
537,MNH-0218S,1,403,545,153
538,MNH-0218S,1,1276,58,227
539,MNH-0218S,1,737,379,306
540,MNH-0218S,1,367,288,310
541,MNH-0218S,1,233,309,310
542,QKQ-0218S,1,2408,38,377
543,MNH-0225S,1,398,596,39
544,QKQ-0218S,1,2113,370,62
545,YTM-0218S,1,512,497.5,56
546,NJYH-0218S,1,2084,334,300
547,MNH-0215S,1,481,340,33
548,MNH-0218S,1,1998,38,360
549,MNH-0218S,1,478,560,356
550,MNH-0218S,1,1580,58,362
551,YTM-0215S,1,1237,794.5,265
552,YTM-0218S,1,404,48,269
553,YTM-0218S,1,2188,580,16
555,YTM-0218S,1,1819.5,297,21
556,YTM-0218S,1,340,58,117
557,MNH-0218S,1,533,535,237
558,MNH-0218S,1,462,379,324
559,MNH-0218S,1,436,429,328
560,MNH-0218S,1,733,578,34
561,MNH-0218S,1,720,327,32
562,MNH-0218S,1,478,560,356
563,MNH-0218S,1,762,58,306
564,MNH-0218S,1,873,378,303
565,QKQ-0218S,1,827.5,385,61
566,MNH-0225S,1,2353,248,333
567,YTM-0218S,1,2148,358,55
568,MNH-0218S,1,880,377,42
569,XXB-0218S,1,382.5,154.5,306
570,MNH-0215S,1,2251,356,381
571,MNH-0218S,1,775,647,333
572,MNH-0218S,1,608,348.5,333
573,MNH-0218S,1,930,322,59
574,JH-0218S,1,882,277,237
575,MNH-0218S,1,1178,379,360
576,MNH-0218S,1,411.5,497,106
577,MNH-0218S,1,780,408,326
578,MNH-0215S,1,611.5,52.5,325
579,NJYH-0218S,1,626,150,328
580,MNH-0215S,1,713,92.5,31
581,MNH-0218S,1,340,58,33
582,YTM-0218S,1,2362,337,270
583,YTM-0218S,1,961,133.5,115
584,YTM-0218S,1,998,343,117
585,MNH-0218S,1,442,58,306
586,XXB-0218S,1,1273,428,295
587,MNH-0218S,1,1162,429,61
588,MNH-0218S,1,410,721,357
589,MNH-0218S,1,868,327,358
590,MNH-0218SD,1,2406,580,362
591,MNH-0218S,1,462,358,324
592,MNH-0218S,1,762,293.5,31
593,NDSF-0218S,1,373.5,138.5,33
594,QKQ-0218S,1,433,428.8,33
595,MNH-0215S,1,288,118,32
596,YSH-0218S,1,2244,379,260
597,MNH-0218S,1,1002,58,138
598,MNH-0215S,1,1897,291.5,152
599,MNH-0218S,1,598,108,152
600,MNH-0218S,1,1994,615,152
601,MNH-0215S,1,488,78,154
603,YTM-0218S,1,873,328,265
604,YTM-0215S,1,585,132.5,16
605,YTM-0215S,1,438,238,21
606,YTM-0218S,1,2231,338,117
607,YTM-0218S,1,2210,376,117
608,YTM-0218S,1,998,343,117
609,MNH-0218S,1,772,308,1
610,QKQ-0215S,1,338,238,329
611,NJYH-0218S,1,994,424,328
612,MNH-0218SD,1,307,63,31
613,MNH-0215S,1,238,118,30
614,MNH-0218S,1,211,279,380
615,YTM-0225S,1,489,338,55
616,XXB-0218S,1,420,395,155
617,MNH-0218SD,1,2286,58,147
618,MNH-0218S,1,701,579,300
619,MNH-0218S,1,362,560,108
620,MNH-0218SD,1,2415,540,308
621,MNH-0218S,1,411,360,308
622,XXB-0215S,1,311,289,306
623,MNH-0218S,1,440,58,310
624,MNH-0218SD,1,2290,58,303
625,QKQ-0215S,1,238,158,380
626,YTM-0218S,1,821,308,268
628,MNH-0218S,1,862,579,299
629,MNH-0218S,1,1034,379,303
630,QKQ-0218S,1,662,485,377
631,MNH-0218S,1,1111,345,381
632,MNH-0218S,1,840,398,182
633,MNH-0218S,1,850,360,107
634,MNH-0218S,1,378,408,326
635,MNH-0218SD,1,1376,58,34
636,MNH-0218S,1,143,428,33
637,MNH-0215S,1,388,78,33
638,QKQ-0218S,1,1934,428.8,33
639,MNH-0215S,1,388,78,138
640,MNH-0215S,1,1160,152,250
641,YTM-0218S,1,489,58,55
642,YTM-0218S,1,489,58,55
643,MNH-0218S,1,536,635,151
644,YSH-0215S,1,463,132.5,107
645,YTM-0218S,1,804,307.5,265
646,YTM-0218S,1,533,111.5,271
647,YTM-0218S,1,375,278,21
648,MNH-0218S,1,2253,558,306
649,XXB-0218SD,1,815,418.3,309
650,MNH-0215S,1,2221,1002,299
651,MNH-0215S,1,1901,838.5,33
652,MNH-0218S,1,438,558,33
653,MNH-0215S,1,656,239,30
654,MNH-0218S,1,891,248,99
655,QKQ-0215S,1,438,78,329
656,MNH-0218S,1,736,360,324
657,MNH-0215S,1,488,78,110
658,MNH-0218S,1,859,83,184
659,YDBS-0215S,1,1562,398,31
660,MNH-0218SD,1,396,58,33
661,MNH-0218S,1,835,98,333
662,MNH-0218S,1,880,378,42
663,MNH-0215S,1,631,239,43
664,MNH-0218S,1,1736,38,237
665,MNH-0218S,1,722,329,110
666,NJYH-0218S,1,354,347.5,326
667,MNH-0218SD,1,679,58,299
668,MNH-0218S,1,1008,380,303
669,MNH-0225S,1,722,597,39
670,XXB-0218S,1,1926.5,427.5,39
671,XXB-0218S,1,1093,595,39
672,MNH-0218S,1,486,257.5,62
673,YTM-0218S,1,586,261,272
674,YTM-0215S,1,531,289,268
675,YTM-0215S,1,453,339,271
676,YTM-0218S,1,741,558,16
677,YTM-0218S,1,1962,297,21
678,XXB-0218S,1,2214,517,118
679,MNH-0218S,1,1179,58,326
680,MNH-0218S,1,482,144,110
681,QKQ-0218S,1,2288,963,99
682,MNH-0218S,1,2098,48,333
683,MNH-0218S,1,608,348.5,333
684,MNH-0218S,1,2334,318,60
685,MNH-0218SD,1,267,58,156
686,MNH-0218S,1,2226,564,153
687,MNH-0215S,1,631,239,43
688,YTM-0218S,1,162,337,117
689,MNH-0218S,1,2318,360,299
690,MNH-0218S,1,1520.5,298,378
691,MNH-0218S,1,866,597,39
692,MNH-0218S,1,2158,58,39
693,MNH-0218S,1,776,668,333
694,YTM-0218S,1,428,415,265
695,YTM-0215S,1,1047,98,271
696,XXB-0215S,1,302.5,289,306
697,MNH-0218S,1,439,288,310
698,MNH-0215S,1,392,489,29
699,MNH-0215S,1,488,78,29
700,MNH-0215S,1,656,239,30
701,MNH-0218S,1,1248,329,32
702,CGS-0218S,1,1398,598,107
703,YTM-0218S,1,412,58,329
704,NJYH-0218S,1,402.5,283.5,324
705,MNH-0218S,1,429,282,184
706,MNH-0218S,1,762,345,184
707,MNH-0218S,1,1171,328,31
708,MNH-0215S,1,755,696.5,149
709,MNH-0215S,1,488,78,154
710,JH-0218S,1,686,193.5,41
711,MNH-0215S,1,238,118,43
712,MNH-0218S,1,277,38,237
713,MNH-0218S,1,2128,577,104
714,MNH-0215S,1,2400,80,381
715,MNH-0215S,1,642,562,39
716,XXB-0215S,1,655,212.5,39
717,XXB-0218S,1,1273,428,295
718,MNH-0218S,1,241,370.5,295
719,MNH-0215S,1,488,198,138
720,YTM-0218S,1,2357,38,268
721,5-0218S,1,493.5,340,19
722,5-0218S,1,812,362,18
723,5-0218S,1,812,361.5,18
725,MNH-0215S,1,2156,442,306
726,MNH-0218S,1,1132,58,237
727,MNH-0215S,1,412.5,212.5,34
728,MNH-0215S,1,1951,407,34
729,MNH-0218S,1,361,408,184
730,MNH-0218S,1,980,268,99
731,MNH-0218SD,1,379,58,299
732,MNH-0218S,1,971,685,303
733,MNH-0215S,1,398,562,39
734,MNH-0218SD,1,400,58,62
735,MNH-0218S,1,161,317,58
736,XXB-0218S,1,1262.5,310,148
737,YTM-0218S,1,404,48,269
738,YTM-0218S,1,881,984.5,269
739,YTM-0218S,1,742,58,16
740,YTM-0218S,1,376,278,21
741,YTM-0218S,1,1528,360,117
742,MNH-0218S,1,880,197,309
743,MNH-0218S,1,2308,38,32
744,MNH-0218S,1,398,58,35
745,YTM-0215S,1,661,504,329
746,MNH-0218S,1,712,362,259
747,MNH-0218S,1,1188,38,259
748,MNH-0215S,1,1398.5,430,184
749,MNH-0218S,1,429,408,184
750,MNH-0218SD,1,762,326,31
751,MNH-0218S,1,548,418,377
752,MNH-0215S,1,398,562,39
753,MNH-0218S,1,608,348.5,333
