firstDutyStartDay,lastDutyStartDay,Pairing_time,PairingFlight,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,EmpNo
8/16/2019,8/19/2019,2955.00000001397,"FB1000,FB293,FB294,FB693,FB700,FB79,FB50,FB247,FB252,FB681,FB682,FB569,FB562,FB585,FB590,FB405,FB408,FB557,FB558,FB239,FB244,FB741,FB742,FB455",6802,6809,6885,6946,7152,7227,7298,7381,7463,7528,7592,7660,7761,7833,7901,7956,8011,8070,8139,8173,8261,8335,8401,8467,,,,,,,,,,,3
8/1/2019,8/4/2019,3364.99999998836,"FB986,FB787,FB788,FB473,FB472,FB599,FB582,FB585,FB590,FB27,FB777,FB578,FB416,FB89,FB1748,FB30,FB35,FB38,FB99,FB94,FB787,FB788,FB473,FB472,FB599",23,89,155,213,308,413,484,565,633,689,739,820,892,907,1081,1171,1224,1293,1344,1365,1437,1503,1562,1655,1759,,,,,,,,,,4
8/6/2019,8/9/2019,3945.00000000349,"FB582,FB585,FB590,FB27,FB777,FB578,FB416,FB89,FB1748,FB30,FB35,FB38,FB99,FB8559,FB1000,FB293,FB294,FB21,FB26,FB385,FB390,FB89,FB1748,FB30,FB35,FB38,FB99",2272,2353,2421,2477,2526,2607,2678,2692,2865,2955,3008,3078,3130,3140,3142,3149,3224,3296,3357,3404,3579,3601,3776,3869,3923,3994,4045,,,,,,,,4
8/11/2019,8/14/2019,3340.00000001164,"FB94,FB747,FB748,FB555,FB558,FB89,FB1748,FB30,FB35,FB38,FB99,FB8559,FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB403,FB406,FB625,FB628,FB699",4526,4598,4656,4718,4935,4968,5141,5233,5288,5357,5411,5421,5424,5471,5540,5605,5705,5817,5925,6001,6061,6116,6192,6267,,,,,,,,,,,4
8/16/2019,8/19/2019,3165.00000000698,"FB692,FB793,FB796,FB385,FB390,FB999,FB8558,FB531,FB534,FB91,FB92,FB569,FB562,FB585,FB590,FB405,FB408,FB557,FB558,FB239,FB244,FB741,FB742,FB455",6848,6931,7007,7062,7241,7260,7264,7311,7380,7445,7546,7660,7761,7833,7901,7956,8011,8070,8139,8173,8261,8335,8401,8467,,,,,,,,,,,4
8/1/2019,8/4/2019,3005.00000000931,"FB541,FB544,FB765,FB766,FB34,FB649,FB522,FB735,FB1863,FB1862,FB686,FB8569,FB94,FB747,FB748,FB555,FB558,FB89,FB1748,FB30,FB35,FB38,FB99",29,98,159,240,325,387,491,574,636,736,849,898,919,990,1047,1110,1318,1354,1527,1617,1670,1739,1790,,,,,,,,,,,,5
8/6/2019,8/9/2019,2955.00000001397,"FB8559,FB1000,FB293,FB294,FB21,FB26,FB385,FB390,FB239,FB244,FB741,FB742,FB455,FB454,FB253,FB258,FB557,FB554,FB475,FB308",2240,2242,2249,2324,2396,2456,2502,2670,2693,2780,2855,2920,2987,3268,3348,3412,3491,3800,3852,3957,,,,,,,,,,,,,,,5
8/11/2019,8/14/2019,3099.99999999418,"FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999,FB8558,FB531,FB534,FB91,FB92,FB649",4558,4625,4693,4748,4804,4864,5165,5216,5321,5469,5536,5604,5659,5715,5774,5844,5878,5883,5929,5997,6063,6163,6278,,,,,,,,,,,,5
8/16/2019,8/19/2019,2830.00000001513,"FB522,FB20,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6839,6928,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,,5
8/1/2019,8/4/2019,3095.00000000931,"FB14,FB57,FB1142,FB1141,FB74,FB321,FB312,FB747,FB748,FB555,FB558,FB999,FB8558,FB531,FB534,FB91,FB92,FB629,FB620,FB249,FB254,FB261,FB266",37,108,181,259,342,419,477,539,596,659,867,902,906,952,1020,1085,1184,1297,1412,1488,1577,1635,1719,,,,,,,,,,,,6
8/6/2019,8/9/2019,3189.99999999418,"FB239,FB244,FB741,FB742,FB455,FB454,FB253,FB258,FB557,FB558,FB999,FB8558,FB531,FB534,FB91,FB92,FB629,FB620,FB249,FB254,FB477,FB476",2245,2334,2408,2473,2538,2815,2894,2958,3034,3104,3139,3143,3189,3257,3322,3422,3539,3660,3736,3824,3886,3988,,,,,,,,,,,,,6
8/11/2019,8/14/2019,3319.99999999884,"FB239,FB244,FB741,FB742,FB455,FB1100,FB239,FB244,FB741,FB742,FB455,FB1100,FB239,FB244,FB741,FB742,FB455,FB1100,FB89,FB1748,FB30,FB35,FB38,FB99",4516,4605,4679,4745,4816,4967,4969,5057,5131,5197,5267,5420,5426,5516,5590,5656,5726,5879,5884,6058,6150,6205,6274,6328,,,,,,,,,,,6
8/16/2019,8/19/2019,3430.00000000116,"FB8559,FB1000,FB293,FB294,FB21,FB26,FB749,FB750,FB617,FB602,FB249,FB254,FB477,FB476,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6800,6802,6809,6885,6956,7018,7064,7121,7188,7326,7400,7489,7551,7654,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,6
8/1/2019,8/4/2019,2320.00000000815,"FB2176,FB19,FB775,FB4875,FB1146,FB2178,FB263,FB268,FB239,FB244,FB741,FB742,FB455,FB454,FB253,FB258,FB557",53,124,184,292,623,698,759,844,908,997,1071,1137,1202,1477,1557,1620,1696,,,,,,,,,,,,,,,,,,7
8/6/2019,8/9/2019,3415.00000000466,"FB554,FB475,FB308,FB492,FB585,FB590,FB27,FB777,FB578,FB416,FB89,FB1748,FB30,FB35,FB38,FB99,FB8559,FB8558,FB531,FB534,FB91,FB92,FB799",2442,2494,2593,2734,2800,2868,2924,2974,3057,3129,3144,3318,3409,3464,3535,3588,3597,3600,3646,3715,3780,3881,3995,,,,,,,,,,,,7
8/11/2019,8/14/2019,2890.00000001164,"FB792,FB59,FB62,FB385,FB390,FB411,FB763,FB764,FB767,FB770,FB739,FB732,FB20,FB91,FB92,FB799,FB792,FB403,FB406,FB625,FB628,FB699",4556,4636,4716,4773,4952,4970,5033,5124,5203,5284,5381,5473,5549,5605,5705,5817,5925,6001,6061,6116,6192,6267,,,,,,,,,,,,,7
8/16/2019,8/19/2019,3165.00000000698,"FB692,FB793,FB796,FB385,FB390,FB999,FB8558,FB531,FB534,FB91,FB92,FB569,FB562,FB585,FB590,FB405,FB408,FB557,FB558,FB239,FB244,FB741,FB742,FB455",6848,6931,7007,7062,7241,7260,7264,7311,7380,7445,7546,7660,7761,7833,7901,7956,8011,8070,8139,8173,8261,8335,8401,8467,,,,,,,,,,,7
8/1/2019,8/4/2019,2984.99999999651,"FB421,FB1205,FB1208,FB1209,FB308,FB492,FB533,FB1621,FB1622,FB538,FB599,FB582,FB585,FB590,FB27,FB777,FB578,FB416,FB239,FB244,FB741,FB742,FB455",55,127,210,279,357,499,566,631,711,796,862,935,1016,1084,1140,1190,1271,1343,1355,1443,1517,1583,1648,,,,,,,,,,,,8
8/6/2019,8/9/2019,3094.99999998836,"FB454,FB473,FB472,FB599,FB582,FB533,FB1621,FB1622,FB538,FB599,FB582,FB585,FB590,FB27,FB777,FB578,FB416,FB239,FB244,FB741,FB742,FB455,FB1106",2368,2452,2545,2648,2719,2801,2866,2946,3031,3099,3172,3253,3321,3377,3429,3513,3587,3602,3691,3765,3831,3902,4054,,,,,,,,,,,,8
8/11/2019,8/14/2019,2955.00000001397,"FB411,FB763,FB764,FB767,FB770,FB739,FB732,FB20,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB239,FB244,FB741,FB742,FB455,FB1100",4517,4581,4672,4751,4834,4931,5014,5090,5145,5246,5358,5467,5547,5627,5683,5861,5885,5974,6048,6114,6184,6338,,,,,,,,,,,,,8
8/16/2019,8/19/2019,2945.00000001281,"FB89,FB1748,FB30,FB35,FB38,FB99,FB94,FB747,FB748,FB555,FB558,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6804,6979,7071,7127,7196,7250,7277,7349,7407,7469,7686,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,8
8/1/2019,8/4/2019,3119.99999999651,"FB1731,FB1734,FB767,FB770,FB739,FB732,FB20,FB91,FB92,FB629,FB620,FB249,FB254,FB261,FB266,FB8569,FB412,FB245,FB289,FB68,FB85,FB717",60,144,242,317,415,503,579,634,733,846,966,1042,1131,1189,1273,1348,1370,1439,1521,1629,1698,1752,,,,,,,,,,,,,9
8/6/2019,8/9/2019,2745.00000001048,"FB52,FB663,FB666,FB263,FB268,FB411,FB763,FB1206,FB2144,FB263,FB268,FB239,FB244,FB741,FB742,FB455,FB454,FB253,FB258,FB557",2316,2395,2472,2546,2630,2694,2756,2849,2921,2995,3080,3145,3233,3308,3374,3442,3726,3806,3871,3951,,,,,,,,,,,,,,,9
8/11/2019,8/14/2019,2649.99999999418,"FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999",4713,4765,4870,5010,5076,5144,5200,5256,5315,5624,5675,5780,5927,5993,6062,6117,6173,6232,6302,6337,,,,,,,,,,,,,,,9
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,9
8/1/2019,8/4/2019,3190.00000000466,"FB16,FB59,FB62,FB645,FB648,FB79,FB52,FB663,FB666,FB297,FB298,FB81,FB52,FB663,FB666,FB263,FB268,FB411,FB763,FB1206,FB256,FB2177,FB779,FB84",61,126,206,263,337,420,528,607,685,762,825,889,979,1058,1136,1210,1295,1356,1418,1511,1591,1661,1726,1792,,,,,,,,,,,10
8/6/2019,8/9/2019,3735,"FB411,FB763,FB1206,FB2144,FB297,FB298,FB81,FB50,FB247,FB252,FB681,FB682,FB629,FB620,FB249,FB254,FB261,FB266,FB8563,FB8567,FB8560,FB1795,FB1796,FB990,FB265,FB270",2246,2309,2402,2474,2549,2612,2675,2724,2805,2888,2949,3012,3082,3203,3279,3367,3428,3515,3589,3598,3605,3697,3785,3872,3931,4018,,,,,,,,,10
8/11/2019,8/14/2019,3240.00000002095,"FB985,FB96,FB793,FB796,FB681,FB682,FB799,FB792,FB19,FB775,FB68,FB37,FB511,FB602,FB249,FB254,FB261,FB266,FB1099,FB454,FB555,FB558,FB999",4518,4578,4641,4717,4776,4842,4908,5008,5086,5146,5245,5322,5387,5486,5560,5649,5711,5797,5871,6008,6087,6302,6337,,,,,,,,,,,,10
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,10
8/1/2019,8/4/2019,3740.00000000582,"FB731,FB1863,FB1862,FB686,FB8569,FB8559,FB8558,FB531,FB534,FB623,FB626,FB265,FB270,FB411,FB763,FB1206,FB256,FB2177,FB779,FB84,FB985,FB96,FB553,FB554,FB475,FB308",66,185,286,400,448,453,456,501,569,637,705,772,863,909,972,1065,1145,1215,1280,1347,1357,1415,1481,1551,1603,1703,,,,,,,,,11
8/6/2019,8/9/2019,2994.99999999767,"FB492,FB533,FB1621,FB1622,FB538,FB273,FB240,FB995,FB1208,FB1209,FB308,FB492,FB533,FB1621,FB1622,FB538,FB599,FB582,FB585,FB590,FB405,FB408,FB557",2287,2354,2419,2498,2582,2652,2705,2790,2896,2964,3043,3187,3254,3319,3400,3488,3556,3628,3711,3779,3834,3891,3951,,,,,,,,,,,,11
8/11/2019,8/14/2019,2649.99999999418,"FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999",4713,4765,4870,5010,5076,5144,5200,5256,5315,5624,5675,5780,5927,5993,6062,6117,6173,6232,6302,6337,,,,,,,,,,,,,,,11
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,11
8/1/2019,8/4/2019,3089.99999999302,"FB96,FB793,FB796,FB681,FB682,FB699,FB692,FB793,FB796,FB645,FB648,FB321,FB312,FB787,FB788,FB473,FB472,FB599,FB582,FB585,FB590,FB27,FB777,FB578,FB416",67,131,207,264,327,394,500,582,658,713,787,868,928,991,1057,1116,1209,1313,1381,1462,1530,1586,1636,1717,1789,,,,,,,,,,12
8/6/2019,8/9/2019,3055.00000002561,"FB985,FB96,FB793,FB796,FB645,FB648,FB321,FB312,FB747,FB748,FB473,FB472,FB273,FB240,FB995,FB1208,FB1209,FB308,FB492,FB585,FB590,FB405,FB408,FB557",2247,2306,2370,2446,2500,2573,2654,2712,2773,2831,2899,2994,3103,3157,3243,3350,3418,3499,3644,3711,3779,3834,3891,3951,,,,,,,,,,,12
8/11/2019,8/14/2019,2649.99999999418,"FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999",4713,4765,4870,5010,5076,5144,5200,5256,5315,5624,5675,5780,5927,5993,6062,6117,6173,6232,6302,6337,,,,,,,,,,,,,,,12
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,12
8/1/2019,8/4/2019,1460.00000001281,"FB577,FB774,FB28,FB1895,FB1892,FB575,FB576,FB697,FB696,FB697,FB696,FB697",74,161,243,295,547,598,666,728,1122,1179,1568,1625,,,,,,,,,,,,,,,,,,,,,,,13
8/6/2019,8/9/2019,2980.00000002212,"FB692,FB793,FB796,FB645,FB648,FB321,FB312,FB747,FB748,FB473,FB472,FB273,FB240,FB995,FB1208,FB1209,FB308,FB492,FB585,FB590,FB405,FB408,FB557",2288,2370,2446,2500,2573,2654,2712,2773,2831,2899,2994,3103,3157,3243,3350,3418,3499,3644,3711,3779,3834,3891,3951,,,,,,,,,,,,13
8/11/2019,8/14/2019,2649.99999999418,"FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999",4713,4765,4870,5010,5076,5144,5200,5256,5315,5624,5675,5780,5927,5993,6062,6117,6173,6232,6302,6337,,,,,,,,,,,,,,,13
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,13
8/21/2019,8/24/2019,3310.00000000815,"FB312,FB747,FB748,FB253,FB258,FB557,FB558,FB999,FB1000,FB293,FB294,FB693,FB700,FB79,FB50,FB247,FB252,FB681,FB682,FB699,FB692,FB793,FB796,FB645,FB648,FB321",9091,9154,9211,9273,9336,9411,9479,9514,9517,9524,9600,9661,9860,9932,10001,10082,10165,10226,10289,10355,10464,10545,10621,10676,10750,10831,,,,,,,,,13
8/1/2019,8/4/2019,2415.00000000349,"FB1747,FB1748,FB30,FB265,FB270,FB239,FB244,FB741,FB742,FB455,FB454,FB253,FB258,FB557,FB554,FB475,FB308",81,179,270,322,414,458,546,620,686,751,1031,1111,1174,1250,1551,1603,1703,,,,,,,,,,,,,,,,,,14
8/6/2019,8/9/2019,2994.99999999767,"FB492,FB533,FB1621,FB1622,FB538,FB273,FB240,FB995,FB1208,FB1209,FB308,FB492,FB533,FB1621,FB1622,FB538,FB599,FB582,FB585,FB590,FB405,FB408,FB557",2287,2354,2419,2498,2582,2652,2705,2790,2896,2964,3043,3187,3254,3319,3400,3488,3556,3628,3711,3779,3834,3891,3951,,,,,,,,,,,,14
8/11/2019,8/14/2019,2649.99999999418,"FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999",4713,4765,4870,5010,5076,5144,5200,5256,5315,5624,5675,5780,5927,5993,6062,6117,6173,6232,6302,6337,,,,,,,,,,,,,,,14
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,14
8/21/2019,8/24/2019,3310.00000000815,"FB312,FB747,FB748,FB253,FB258,FB557,FB558,FB999,FB1000,FB293,FB294,FB693,FB700,FB79,FB50,FB247,FB252,FB681,FB682,FB699,FB692,FB793,FB796,FB645,FB648,FB321",9091,9154,9211,9273,9336,9411,9479,9514,9517,9524,9600,9661,9860,9932,10001,10082,10165,10226,10289,10355,10464,10545,10621,10676,10750,10831,,,,,,,,,14
8/1/2019,8/4/2019,3025.00000002212,"FB771,FB58,FB625,FB628,FB569,FB562,FB315,FB1181,FB1182,FB320,FB37,FB40,FB985,FB96,FB553,FB554,FB475,FB308,FB492,FB533,FB1621,FB1622,FB538,FB273",82,175,238,310,388,494,567,625,687,750,807,882,910,969,1035,1105,1157,1257,1396,1463,1528,1608,1693,1763,,,,,,,,,,,15
8/6/2019,8/9/2019,3160.0000000326,"FB240,FB995,FB1208,FB1209,FB474,FB8569,FB94,FB747,FB748,FB473,FB472,FB273,FB240,FB995,FB1208,FB1209,FB308,FB492,FB585,FB590,FB405,FB408,FB557",2257,2343,2449,2516,2600,2683,2704,2773,2831,2899,2994,3103,3157,3243,3350,3418,3499,3644,3711,3779,3834,3891,3951,,,,,,,,,,,,15
8/11/2019,8/14/2019,2649.99999999418,"FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999",4713,4765,4870,5010,5076,5144,5200,5256,5315,5624,5675,5780,5927,5993,6062,6117,6173,6232,6302,6337,,,,,,,,,,,,,,,15
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,15
8/1/2019,8/4/2019,2210.00000000582,"FB1145,FB742,FB455,FB454,FB253,FB258,FB557,FB556,FB285,FB286,FB993,FB994,FB991,FB990,FB683,FB686",97,235,301,580,660,723,799,1159,1216,1283,1359,1468,1569,1621,1679,1746,,,,,,,,,,,,,,,,,,,16
8/6/2019,8/9/2019,3019.99999998487,"FB993,FB994,FB991,FB990,FB683,FB686,FB985,FB96,FB553,FB554,FB475,FB308,FB492,FB533,FB1621,FB1622,FB538,FB599,FB582,FB585,FB590,FB405,FB408,FB557",2250,2359,2460,2511,2568,2635,2695,2753,2819,2889,2942,3043,3187,3254,3319,3400,3488,3556,3628,3711,3779,3834,3891,3951,,,,,,,,,,,16
8/11/2019,8/14/2019,2649.99999999418,"FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999",4713,4765,4870,5010,5076,5144,5200,5256,5315,5624,5675,5780,5927,5993,6062,6117,6173,6232,6302,6337,,,,,,,,,,,,,,,16
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,16
8/21/2019,8/24/2019,3310.00000000815,"FB312,FB747,FB748,FB253,FB258,FB557,FB558,FB999,FB1000,FB293,FB294,FB693,FB700,FB79,FB50,FB247,FB252,FB681,FB682,FB699,FB692,FB793,FB796,FB645,FB648,FB321",9091,9154,9211,9273,9336,9411,9479,9514,9517,9524,9600,9661,9860,9932,10001,10082,10165,10226,10289,10355,10464,10545,10621,10676,10750,10831,,,,,,,,,16
8/1/2019,8/4/2019,2420.00000000931,"FB1795,FB1796,FB990,FB637,FB640,FB239,FB244,FB741,FB742,FB455,FB454,FB253,FB258,FB557,FB554,FB475,FB308",102,188,274,331,411,458,546,620,686,751,1031,1111,1174,1250,1551,1603,1703,,,,,,,,,,,,,,,,,,17
8/6/2019,8/9/2019,2994.99999999767,"FB492,FB533,FB1621,FB1622,FB538,FB273,FB240,FB995,FB1208,FB1209,FB308,FB492,FB533,FB1621,FB1622,FB538,FB599,FB582,FB585,FB590,FB405,FB408,FB557",2287,2354,2419,2498,2582,2652,2705,2790,2896,2964,3043,3187,3254,3319,3400,3488,3556,3628,3711,3779,3834,3891,3951,,,,,,,,,,,,17
8/11/2019,8/14/2019,2649.99999999418,"FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB554,FB475,FB308,FB492,FB585,FB590,FB405,FB408,FB557,FB558,FB999",4713,4765,4870,5010,5076,5144,5200,5256,5315,5624,5675,5780,5927,5993,6062,6117,6173,6232,6302,6337,,,,,,,,,,,,,,,17
8/16/2019,8/19/2019,2995.00000000815,"FB8558,FB531,FB534,FB91,FB92,FB799,FB792,FB59,FB62,FB385,FB390,FB999,FB1000,FB293,FB294,FB693,FB692,FB793,FB796,FB645,FB648,FB321",6803,6849,6918,6983,7084,7197,7307,7387,7467,7524,7703,7721,7722,7727,7804,7865,8215,8297,8373,8427,8502,8584,,,,,,,,,,,,,17
