EmpNo,Captain,FirstOfficer,Deadhead,Base,DutyCostPerHr,ParingCostPerHr
B0199,1,0,1,242,680,20
B0200,1,0,1,242,680,20
B0201,1,0,1,242,680,20
B0202,1,0,1,242,680,20
B0203,1,0,1,242,680,20
B0204,1,0,1,242,680,20
B0205,1,0,1,242,680,20
B0206,1,0,1,242,680,20
B0207,1,0,1,242,680,20
B0208,1,0,1,242,680,20
B0209,1,0,1,242,680,20
B0210,1,0,1,242,680,20
B0211,1,0,1,242,680,20
B0212,1,0,1,242,680,20
B0213,1,0,1,242,680,20
B0214,1,0,1,242,680,20
B0215,1,0,1,242,680,20
B0216,1,0,1,242,680,20
B0217,1,0,1,242,680,20
B0218,1,0,1,242,680,20
B0219,1,0,1,242,680,20
B0220,1,0,1,242,680,20
B0221,1,0,1,242,680,20
B0222,1,0,1,242,680,20
B0223,1,0,1,242,680,20
B0224,1,0,1,242,680,20
B0225,1,0,1,242,680,20
B0226,1,0,1,242,680,20
B0227,1,0,1,242,680,20
B0228,1,0,1,242,680,20
B0229,1,0,1,242,680,20
B0230,1,0,1,242,680,20
B0231,1,0,1,242,680,20
B0232,1,0,1,242,680,20
B0233,1,0,1,242,680,20
B0234,1,0,1,242,680,20
B0235,1,0,1,242,680,20
B0236,0,1,1,242,600,20
B0237,0,1,1,242,600,20
B0238,0,1,1,242,600,20
B0239,0,1,1,242,600,20
B0240,0,1,1,242,600,20
B0241,0,1,1,242,600,20
B0242,0,1,1,242,600,20
B0243,0,1,1,242,600,20
B0244,0,1,1,242,600,20
B0245,0,1,1,242,600,20
B0246,0,1,1,242,600,20
B0247,0,1,1,242,600,20
B0248,0,1,1,242,600,20
B0249,0,1,1,242,600,20
B0250,0,1,1,242,600,20
B0251,0,1,1,242,600,20
B0252,0,1,1,242,600,20
B0253,0,1,1,242,600,20
B0254,0,1,1,242,600,20
B0255,0,1,1,242,600,20
B0256,0,1,1,242,600,20
B0257,0,1,1,242,600,20
B0258,0,1,1,242,600,20
B0259,0,1,1,242,600,20
B0260,0,1,1,242,600,20
B0261,0,1,1,242,600,20
B0262,0,1,1,242,600,20
B0263,0,1,1,242,600,20
B0264,0,1,1,242,600,20
B0265,0,1,1,242,600,20
B0266,0,1,1,242,600,20
B0267,0,1,1,242,600,20
B0268,0,1,1,242,600,20
B0269,0,1,1,242,600,20
B0270,0,1,1,242,600,20
B0271,0,1,1,242,600,20
B0272,0,1,1,242,600,20
B0273,0,1,1,242,600,20
B0274,0,1,1,242,600,20
B0275,0,1,1,242,600,20
B0276,0,1,1,242,600,20
B0277,0,1,1,242,600,20
B0278,0,1,1,242,600,20
B0279,0,1,1,242,600,20
B0280,0,1,1,242,600,20
B0281,0,1,1,242,600,20
B0282,0,1,1,242,600,20
B0283,0,1,1,242,600,20
B0284,0,1,1,242,600,20
B0285,0,1,1,242,600,20
B0286,0,1,1,242,600,20
B0287,0,1,1,242,600,20
B0288,0,1,1,242,600,20
B0289,0,1,1,242,600,20
B0290,0,1,1,242,600,20
B0291,0,1,1,242,600,20
B0292,0,1,1,242,600,20
B0293,0,1,1,242,600,20
B0294,0,1,1,242,600,20
B0295,0,1,1,242,600,20
B0296,0,1,1,242,600,20
B0297,0,1,1,242,600,20
B0298,0,1,1,242,600,20
B0299,0,1,1,242,600,20
B0300,0,1,1,242,600,20
B0301,0,1,1,242,600,20
B0302,0,1,1,242,600,20
B0303,0,1,1,242,600,20
B0304,0,1,1,242,600,20
B0305,0,1,1,242,600,20
B0306,0,1,1,242,600,20
B0307,0,1,1,242,600,20
B0308,0,1,1,242,600,20
B0309,0,1,1,242,600,20
B0310,0,1,1,242,600,20
B0311,0,1,1,242,600,20
B0312,0,1,1,242,600,20
B0313,0,1,1,242,600,20
B0314,0,1,1,242,600,20
B0315,0,1,1,242,600,20
B0316,0,1,1,242,600,20
B0317,0,1,1,242,600,20
B0318,0,1,1,242,600,20
B0319,0,1,1,242,600,20
B0320,0,1,1,242,600,20
B0321,0,1,1,242,600,20
B0322,0,1,1,242,600,20
B0323,0,1,1,242,600,20
B0324,0,1,1,242,600,20
B0325,0,1,1,242,600,20
B0326,0,1,1,242,600,20
B0327,0,1,1,242,600,20
B0328,0,1,1,242,600,20
B0329,0,1,1,242,600,20
B0330,0,1,1,242,600,20
B0331,0,1,1,242,600,20
B0332,0,1,1,242,600,20
B0333,0,1,1,242,600,20
B0334,0,1,1,242,600,20
B0335,0,1,1,242,600,20
B0336,0,1,1,242,600,20
B0337,0,1,1,242,600,20
B0338,0,1,1,242,600,20
B0339,0,1,1,242,600,20
B0340,0,1,1,242,600,20
B0341,0,1,1,242,600,20
B0342,0,1,1,242,600,20
B0343,0,1,1,242,600,20
B0344,0,1,1,242,600,20
B0345,0,1,1,242,600,20
B0346,0,1,1,242,600,20
B0347,0,1,1,242,600,20
B0348,0,1,1,242,600,20
B0349,0,1,1,242,600,20
B0350,0,1,1,242,600,20
B0351,0,1,1,242,600,20
B0352,0,1,1,242,600,20
B0353,0,1,1,242,600,20
B0354,0,1,1,242,600,20
B0355,0,1,1,242,600,20
B0356,0,1,1,242,600,20
B0357,0,1,1,242,600,20
B0358,0,1,1,242,600,20
B0359,0,1,1,242,600,20
B0360,0,1,1,242,600,20
B0361,0,1,1,242,600,20
B0362,0,1,1,242,600,20
B0363,0,1,1,242,600,20
B0364,0,1,1,242,600,20
B0365,0,1,1,242,600,20
B0366,0,1,1,242,600,20
B0367,0,1,1,242,600,20
B0368,0,1,1,242,600,20
B0369,0,1,1,242,600,20
B0370,0,1,1,242,600,20
B0371,0,1,1,242,600,20
B0372,0,1,1,242,600,20
B0373,0,1,1,242,600,20
B0374,0,1,1,242,600,20
B0375,0,1,1,242,600,20
B0376,0,1,1,242,600,20
B0377,0,1,1,242,600,20
B0378,0,1,1,242,600,20
B0379,0,1,1,242,600,20
B0380,0,1,1,242,600,20
B0381,0,1,1,242,600,20
B0382,0,1,1,242,600,20
B0383,0,1,1,242,600,20
B0384,0,1,1,242,600,20
B0385,0,1,1,242,600,20
B0386,0,1,1,242,600,20
B0387,0,1,1,242,600,20
B0388,0,1,1,242,600,20
B0389,0,1,1,242,600,20
B0390,0,1,1,242,600,20
B0391,0,1,1,242,600,20
B0392,0,1,1,242,600,20
B0393,0,1,1,242,600,20
B0394,0,1,1,242,600,20
B0395,0,1,1,242,600,20
B0396,0,1,1,242,600,20
B0397,0,1,1,242,600,20
B0398,0,1,1,242,600,20
B0399,0,1,1,242,600,20
B0400,0,1,1,242,600,20
B0401,0,1,1,242,600,20
B0402,0,1,1,242,600,20
B0403,0,1,1,242,600,20
B0404,0,1,1,242,600,20
B0405,0,1,1,242,600,20
B0406,0,1,1,242,600,20
B0407,0,1,1,242,600,20
B0408,0,1,1,242,600,20
B0409,0,1,1,242,600,20
B0410,0,1,1,242,600,20
B0411,0,1,1,242,600,20
B0412,0,1,1,242,600,20
B0413,0,1,1,242,600,20
B0414,0,1,1,242,600,20
B0415,0,1,1,242,600,20
B0416,0,1,1,242,600,20
B0417,0,1,1,242,600,20
B0418,0,1,1,242,600,20
B0419,0,1,1,242,600,20
B0420,0,1,1,242,600,20
B0421,0,1,1,242,600,20
B0422,0,1,1,242,600,20
B0423,0,1,1,242,600,20
B0424,0,1,1,242,600,20
B0425,0,1,1,242,600,20
B0426,0,1,1,242,600,20
B0427,0,1,1,242,600,20
B0428,0,1,1,242,600,20
B0429,0,1,1,242,600,20
B0430,0,1,1,242,600,20
B0431,0,1,1,242,600,20
B0432,0,1,1,242,600,20
B0433,0,1,1,242,600,20
B0434,0,1,1,242,600,20
B0435,0,1,1,242,600,20
B0436,0,1,1,242,600,20
B0437,0,1,1,242,600,20
B0438,0,1,1,242,600,20
B0439,0,1,1,242,600,20
B0440,0,1,1,242,600,20
B0441,0,1,1,242,600,20
B0442,0,1,1,242,600,20
B0443,0,1,1,242,600,20
B0444,0,1,1,242,600,20
B0445,0,1,1,242,600,20
B0446,0,1,1,242,600,20
B0447,0,1,1,242,600,20
B0448,0,1,1,242,600,20
B0449,0,1,1,242,600,20
B0450,0,1,1,242,600,20
B0451,0,1,1,242,600,20
B0452,0,1,1,242,600,20
B0453,0,1,1,242,600,20
B0454,0,1,1,242,600,20
B0455,0,1,1,242,600,20
B0456,0,1,1,242,600,20
B0457,0,1,1,242,600,20
B0458,0,1,1,242,600,20
B0459,0,1,1,242,600,20
B0460,0,1,1,242,600,20
B0461,0,1,1,242,600,20
B0462,0,1,1,242,600,20
B0463,0,1,1,242,600,20
B0464,0,1,1,242,600,20
B0465,0,1,1,242,600,20
