航班号,出发日期,出发时间,出发机场,到达日期,到达时间,到达机场,最低配置要求
7675,FB290,8/1/2019,0.597222222,NOU,8/1/2019,0.694444444,FBX
7706,FB468,8/1/2019,0.597222222,SXA,8/1/2019,0.704861111,TGD
7707,FB636,8/1/2019,0.597222222,HWX,8/1/2019,0.663194444,TGD
7758,FB1174,8/1/2019,0.597222222,NOU,8/1/2019,0.663194444,XMQ
7789,FB626,8/1/2019,0.600694444,XSJ,8/1/2019,0.673611111,TGD
7810,FB475,8/1/2019,0.604166667,TGD,8/1/2019,0.708333333,SXA
7841,FB66,8/1/2019,0.604166667,NOU,8/1/2019,0.670138889,TGD
7936,FB1141,8/1/2019,0.611111111,HOM,8/1/2019,0.690972222,NOU
7967,FB1622,8/1/2019,0.611111111,SXA,8/1/2019,0.690972222,OAX
8143,FB259,8/1/2019,0.625,TGD,8/1/2019,0.697916667,FBX
8174,FB31,8/1/2019,0.625,TGD,8/1/2019,0.670138889,HOM
8205,FB593,8/1/2019,0.625,TGD,8/1/2019,0.684027778,MYJ
8267,FB30,8/1/2019,0.625,HOM,8/1/2019,0.677083333,TGD
8268,FB470,8/1/2019,0.625,SXA,8/1/2019,0.736111111,TGD
8381,FB990,8/1/2019,0.631944444,HOM,8/1/2019,0.684027778,TGD
8412,FB1872,8/1/2019,0.635416667,SXA,8/1/2019,0.701388889,GKU
8443,FB568,8/1/2019,0.635416667,XNZ,8/1/2019,0.690972222,TGD
8474,FB1868,8/1/2019,0.635416667,SXA,8/1/2019,0.701388889,XMJ
8543,FB1209,8/1/2019,0.642361111,FBX,8/1/2019,0.715277778,SXA
8574,FB680,8/1/2019,0.642361111,THJ,8/1/2019,0.701388889,TGD
8637,FB92,8/1/2019,0.645833333,HUK,8/1/2019,0.767361111,TGD
8719,FB88,8/1/2019,0.649305556,MMY,8/1/2019,0.767361111,TGD
8771,FB1862,8/1/2019,0.649305556,SXA,8/1/2019,0.725694444,THJ
8869,FB777,8/1/2019,0.65625,HOM,8/1/2019,0.732638889,NOU
8900,FB797,8/1/2019,0.65625,TGD,8/1/2019,0.722222222,SHO
8980,FB4875,8/1/2019,0.65625,NOU,8/1/2019,0.6875,XBT
9073,FB1895,8/1/2019,0.663194444,TGD,8/1/2019,0.697916667,TAN
9104,FB397,8/1/2019,0.663194444,TGD,8/1/2019,0.704861111,UYS
9135,FB33,8/1/2019,0.666666667,TGD,8/1/2019,0.711805556,HOM
9197,FB32,8/1/2019,0.666666667,HOM,8/1/2019,0.71875,TGD
9198,FB320,8/1/2019,0.666666667,OSY,8/1/2019,0.715277778,TGD
9257,FB455,8/1/2019,0.670138889,TGD,8/1/2019,0.746527778,TUK
9288,FB567,8/1/2019,0.670138889,TGD,8/1/2019,0.725694444,XNZ
9311,FB667,8/1/2019,0.673611111,TGD,8/1/2019,0.746527778,GKU
9342,FB789,8/1/2019,0.673611111,TGD,8/1/2019,0.722222222,SGJ
9373,FB1717,8/1/2019,0.677083333,HOM,8/1/2019,0.756944444,NOU
9404,FB260,8/1/2019,0.677083333,FBX,8/1/2019,0.753472222,TGD
9527,FB628,8/1/2019,0.684027778,XSJ,8/1/2019,0.760416667,TGD
9596,FB297,8/1/2019,0.690972222,TGD,8/1/2019,0.743055556,OOJ
9657,FB2177,8/1/2019,0.694444444,TGD,8/1/2019,0.75,HOM
9702,FB755,8/1/2019,0.694444444,TGD,8/1/2019,0.736111111,XMQ
9786,FB770,8/1/2019,0.701388889,SXA,8/1/2019,0.788194444,HOM
9874,FB549,8/1/2019,0.701388889,HOM,8/1/2019,0.75,XSJ
9875,FB778,8/1/2019,0.704861111,NOU,8/1/2019,0.78125,HOM
9900,FB265,8/1/2019,0.708333333,TGD,8/1/2019,0.784722222,FBX
9927,FB35,8/1/2019,0.708333333,TGD,8/1/2019,0.756944444,HOM
9958,FB73,8/1/2019,0.708333333,TGD,8/1/2019,0.774305556,NOU
9989,FB34,8/1/2019,0.708333333,HOM,8/1/2019,0.760416667,TGD
10082,FB737,8/1/2019,0.708333333,HOM,8/1/2019,0.760416667,UDJ
10113,FB493,8/1/2019,0.711805556,TGD,8/1/2019,0.760416667,GKS
10178,FB637,8/1/2019,0.715277778,TGD,8/1/2019,0.78125,HWX
10209,FB683,8/1/2019,0.715277778,TGD,8/1/2019,0.770833333,THJ
10251,FB595,8/1/2019,0.71875,TGD,8/1/2019,0.777777778,MYJ
10282,FB1097,8/1/2019,0.71875,TGD,8/1/2019,0.822916667,SXA
10365,FB648,8/1/2019,0.722222222,XMJ,8/1/2019,0.795138889,TGD
10436,FB428,8/1/2019,0.729166667,FBX,8/1/2019,0.777777778,HOM
10437,FB526,8/1/2019,0.729166667,XMJ,8/1/2019,0.774305556,HOM
10558,FB738,8/1/2019,0.732638889,UDJ,8/1/2019,0.788194444,HOM
10559,FB786,8/1/2019,0.732638889,GKU,8/1/2019,0.78125,HOM
10620,FB264,8/1/2019,0.732638889,FBX,8/1/2019,0.809027778,TGD
10652,FB700,8/1/2019,0.736111111,BCJ,8/1/2019,0.805555556,TGD
10743,FB557,8/1/2019,0.736111111,TGD,8/1/2019,0.791666667,TXD
10805,FB85,8/1/2019,0.739583333,TGD,8/1/2019,0.78125,GKS
10826,FB2145,8/1/2019,0.743055556,TGD,8/1/2019,0.829861111,FBX
10844,FB400,8/1/2019,0.743055556,UYS,8/1/2019,0.788194444,TGD
10906,FB2159,8/1/2019,0.746527778,TGD,8/1/2019,0.861111111,SXA
10958,FB308,8/1/2019,0.75,SXA,8/1/2019,0.840277778,GKS
10989,FB37,8/1/2019,0.75,TGD,8/1/2019,0.798611111,HOM
11020,FB75,8/1/2019,0.75,TGD,8/1/2019,0.815972222,NOU
11051,FB36,8/1/2019,0.75,HOM,8/1/2019,0.802083333,TGD
11052,FB790,8/1/2019,0.75,SGJ,8/1/2019,0.802083333,TGD
11113,FB647,8/1/2019,0.75,TGD,8/1/2019,0.822916667,XMJ
11155,FB657,8/1/2019,0.753472222,TGD,8/1/2019,0.805555556,SXJ
11185,FB474,8/1/2019,0.753472222,SXA,8/1/2019,0.857638889,TGD
11186,FB570,8/1/2019,0.753472222,XNZ,8/1/2019,0.8125,TGD
11187,FB684,8/1/2019,0.753472222,THJ,8/1/2019,0.8125,TGD
11188,FB800,8/1/2019,0.753472222,SHO,8/1/2019,0.822916667,TGD
11311,FB407,8/1/2019,0.756944444,TGD,8/1/2019,0.802083333,AXO
11342,FB2179,8/1/2019,0.756944444,TGD,8/1/2019,0.815972222,HOM
11404,FB578,8/1/2019,0.763888889,NOU,8/1/2019,0.840277778,HOM
11466,FB266,8/1/2019,0.767361111,FBX,8/1/2019,0.840277778,TGD
11497,FB387,8/1/2019,0.767361111,TGD,8/1/2019,0.822916667,YKJ
11529,FB298,8/1/2019,0.770833333,OOJ,8/1/2019,0.829861111,TGD
11589,FB380,8/1/2019,0.774305556,NOU,8/1/2019,0.854166667,SXJ
11620,FB458,8/1/2019,0.774305556,TUK,8/1/2019,0.847222222,TGD
11682,FB552,8/1/2019,0.777777778,XSJ,8/1/2019,0.826388889,HOM
11713,FB1718,8/1/2019,0.78125,NOU,8/1/2019,0.871527778,HOM
11742,FB779,8/1/2019,0.78125,HOM,8/1/2019,0.854166667,NOU
11743,FB670,8/1/2019,0.78125,GKU,8/1/2019,0.861111111,TGD
11788,FB1272,8/1/2019,0.784722222,NOU,8/1/2019,0.868055556,THJ
11897,FB649,8/1/2019,0.788194444,TGD,8/1/2019,0.861111111,XMJ
11918,FB569,8/1/2019,0.788194444,TGD,8/1/2019,0.84375,XNZ
11947,FB269,8/1/2019,0.791666667,TGD,8/1/2019,0.868055556,FBX
11948,FB447,8/1/2019,0.791666667,GKS,8/1/2019,0.850694444,FBX
12008,FB39,8/1/2019,0.791666667,TGD,8/1/2019,0.84375,HOM
12039,FB77,8/1/2019,0.791666667,TGD,8/1/2019,0.857638889,NOU
12132,FB268,8/1/2019,0.798611111,FBX,8/1/2019,0.875,TGD
12221,FB430,8/1/2019,0.802083333,FBX,8/1/2019,0.857638889,HOM
12264,FB686,8/1/2019,0.802083333,THJ,8/1/2019,0.861111111,TGD
12325,FB41,8/1/2019,0.805555556,TGD,8/1/2019,0.857638889,HOM
12356,FB299,8/1/2019,0.805555556,TGD,8/1/2019,0.857638889,OOJ
12397,FB799,8/1/2019,0.805555556,TGD,8/1/2019,0.871527778,SHO
12427,FB669,8/1/2019,0.809027778,TGD,8/1/2019,0.885416667,GKU
12500,FB717,8/1/2019,0.8125,GKS,8/1/2019,0.881944444,NOU
12521,FB78,8/1/2019,0.8125,NOU,8/1/2019,0.878472222,TGD
12522,FB598,8/1/2019,0.8125,MYJ,8/1/2019,0.878472222,TGD
12583,FB1709,8/1/2019,0.815972222,HOM,8/1/2019,0.868055556,FBX
12615,FB640,8/1/2019,0.815972222,HWX,8/1/2019,0.885416667,TGD
12796,FB529,8/1/2019,0.819444444,HOM,8/1/2019,0.868055556,XMJ
12977,FB539,8/1/2019,0.833333333,TGD,8/1/2019,0.888888889,OAX
13008,FB479,8/1/2019,0.833333333,TGD,8/1/2019,0.9375,SXA
13039,FB410,8/1/2019,0.833333333,AXO,8/1/2019,0.881944444,TGD
13070,FB618,8/1/2019,0.836805556,XMH,8/1/2019,0.90625,TGD
13071,FB660,8/1/2019,0.836805556,SXJ,8/1/2019,0.892361111,TGD
13131,FB389,8/1/2019,0.836805556,TGD,8/1/2019,0.892361111,YKJ
13162,FB449,8/1/2019,0.840277778,GKS,8/1/2019,0.899305556,FBX
13193,FB659,8/1/2019,0.840277778,TGD,8/1/2019,0.895833333,SXJ
13224,FB415,8/1/2019,0.84375,TGD,8/1/2019,0.895833333,HOM
13255,FB639,8/1/2019,0.84375,TGD,8/1/2019,0.909722222,HWX
13276,FB399,8/1/2019,0.84375,TGD,8/1/2019,0.885416667,UYS
13307,FB409,8/1/2019,0.847222222,TGD,8/1/2019,0.892361111,AXO
13338,FB40,8/1/2019,0.847222222,HOM,8/1/2019,0.899305556,TGD
13400,FB390,8/1/2019,0.850694444,YKJ,8/1/2019,0.913194444,TGD
13401,FB650,8/1/2019,0.850694444,XMJ,8/1/2019,0.930555556,TGD
13452,FB97,8/1/2019,0.854166667,TGD,8/1/2019,0.909722222,HOM
13483,FB82,8/1/2019,0.854166667,NOU,8/1/2019,0.923611111,TGD
13555,FB81,8/1/2019,0.861111111,TGD,8/1/2019,0.927083333,NOU
13575,FB272,8/1/2019,0.864583333,FBX,8/1/2019,0.9375,TGD
13678,FB99,8/1/2019,0.875,TGD,8/1/2019,0.930555556,HOM
13719,FB8563,8/1/2019,0.875,TGD,8/1/2019,0.961805556,XXJ
13741,FB274,8/1/2019,0.881944444,FBX,8/1/2019,0.958333333,TGD
13820,FB8569,8/1/2019,0.899305556,TGD,8/1/2019,0.961805556,HOM
13838,FB100,8/1/2019,0.899305556,HOM,8/1/2019,0.951388889,TGD
13839,FB690,8/1/2019,0.899305556,THJ,8/1/2019,0.958333333,TGD
2,FB8559,8/2/2019,0.00347222222,HOM,8/2/2019,0.0868055556,SXA
276,FB993,8/2/2019,0.277777778,TGD,8/2/2019,0.378472222,SXA
307,FB619,8/2/2019,0.28125,TGD,8/2/2019,0.354166667,XSJ
338,FB381,8/2/2019,0.284722222,TGD,8/2/2019,0.336805556,YKJ
369,FB393,8/2/2019,0.288194444,TGD,8/2/2019,0.329861111,UYS
400,FB13,8/2/2019,0.291666667,TGD,8/2/2019,0.336805556,HOM
431,FB51,8/2/2019,0.291666667,TGD,8/2/2019,0.354166667,NOU
463,FB94,8/2/2019,0.291666667,HOM,8/2/2019,0.340277778,TGD
464,FB240,8/2/2019,0.291666667,FBX,8/2/2019,0.361111111,TGD
524,FB671,8/2/2019,0.291666667,TGD,8/2/2019,0.350694444,THJ
555,FB1200,8/2/2019,0.295138889,SXA,8/2/2019,0.361111111,FBX
588,FB292,8/2/2019,0.295138889,OOJ,8/2/2019,0.347222222,TGD
589,FB412,8/2/2019,0.295138889,HOM,8/2/2019,0.347222222,TGD
590,FB986,8/2/2019,0.295138889,HOM,8/2/2019,0.34375,TGD
730,FB312,8/2/2019,0.298611111,OSY,8/2/2019,0.34375,TGD
731,FB394,8/2/2019,0.298611111,UYS,8/2/2019,0.34375,TGD
732,FB652,8/2/2019,0.298611111,SXJ,8/2/2019,0.350694444,TGD
821,FB541,8/2/2019,0.298611111,HOM,8/2/2019,0.347222222,XSJ
852,FB382,8/2/2019,0.305555556,YKJ,8/2/2019,0.361111111,TGD
883,FB241,8/2/2019,0.309027778,TGD,8/2/2019,0.385416667,FBX
945,FB582,8/2/2019,0.309027778,MYJ,8/2/2019,0.371527778,TGD
976,FB451,8/2/2019,0.309027778,TGD,8/2/2019,0.385416667,TUK
1007,FB432,8/2/2019,0.3125,FBX,8/2/2019,0.364583333,GKS
1038,FB1891,8/2/2019,0.3125,TGD,8/2/2019,0.350694444,TAN
1072,FB50,8/2/2019,0.3125,NOU,8/2/2019,0.378472222,TGD
1162,FB522,8/2/2019,0.315972222,XMJ,8/2/2019,0.361111111,HOM
