员工号,航段次序,航班号,出发日期,出发时间,出发机场,到达日期,到达时间,到达机场,实际资格
B0001,57,2560,FB1203,8/10/2019,0.364583333,FBX,8/10/2019,0.4375,C
B0049,57,2560,FB1203,8/10/2019,0.364583333,FBX,8/10/2019,0.4375,F
B0001,58,4439,FB748,8/10/2019,0.444444444,GOQ,8/10/2019,0.489583333,C
B0049,58,4439,FB748,8/10/2019,0.444444444,GOQ,8/10/2019,0.489583333,F
B0001,59,10678,FB538,8/10/2019,0.736111111,OAX,8/10/2019,0.791666667,C
B0049,59,10678,FB538,8/10/2019,0.736111111,OAX,8/10/2019,0.791666667,F
B0001,60,12937,FB511,8/10/2019,0.829861111,HOM,8/10/2019,0.875,C
B0049,60,12937,FB511,8/10/2019,0.829861111,HOM,8/10/2019,0.875,F
B0001,61,1098,FB14,8/11/2019,0.3125,HOM,8/11/2019,0.364583333,C
B0049,61,1098,FB14,8/11/2019,0.3125,HOM,8/11/2019,0.364583333,F
B0001,62,3600,FB534,8/11/2019,0.40625,OAX,8/11/2019,0.461805556,C
B0049,62,3600,FB534,8/11/2019,0.40625,OAX,8/11/2019,0.461805556,F
B0001,63,6173,FB90,8/11/2019,0.513888889,HUK,8/11/2019,0.635416667,C
B0049,63,6173,FB90,8/11/2019,0.513888889,HUK,8/11/2019,0.635416667,F
B0001,64,8032,FB385,8/11/2019,0.614583333,TGD,8/11/2019,0.670138889,C
B0049,64,8032,FB385,8/11/2019,0.614583333,TGD,8/11/2019,0.670138889,F
B0001,65,9739,FB388,8/11/2019,0.697916667,YKJ,8/11/2019,0.760416667,C
B0049,65,9739,FB388,8/11/2019,0.697916667,YKJ,8/11/2019,0.760416667,F
B0001,66,11798,FB1272,8/11/2019,0.784722222,NOU,8/11/2019,0.868055556,C
B0049,66,11798,FB1272,8/11/2019,0.784722222,NOU,8/11/2019,0.868055556,F
B0001,67,1103,FB402,8/12/2019,0.3125,AXO,8/12/2019,0.357638889,C
B0049,67,1103,FB402,8/12/2019,0.3125,AXO,8/12/2019,0.357638889,F
B0001,68,3728,FB604,8/12/2019,0.413194444,XMH,8/12/2019,0.482638889,C
B0049,68,3728,FB604,8/12/2019,0.413194444,XMH,8/12/2019,0.482638889,F
B0001,69,5634,FB775,8/12/2019,0.496527778,HOM,8/12/2019,0.576388889,C
B0049,69,5634,FB775,8/12/2019,0.496527778,HOM,8/12/2019,0.576388889,F
B0001,70,8738,FB88,8/12/2019,0.649305556,MMY,8/12/2019,0.767361111,C
B0049,70,8738,FB88,8/12/2019,0.649305556,MMY,8/12/2019,0.767361111,F
B0001,71,12285,FB630,8/12/2019,0.802083333,XSJ,8/12/2019,0.878472222,C
B0049,71,12285,FB630,8/12/2019,0.802083333,XSJ,8/12/2019,0.878472222,F
B0001,72,13861,FB690,8/12/2019,0.899305556,THJ,8/12/2019,0.958333333,C
B0049,72,13861,FB690,8/12/2019,0.899305556,THJ,8/12/2019,0.958333333,F
B0001,73,32,FB8567,8/13/2019,0.0243055556,XXJ,8/13/2019,0.100694444,C
B0049,73,32,FB8567,8/13/2019,0.0243055556,XXJ,8/13/2019,0.100694444,F
B0001,74,229,FB8560,8/13/2019,0.274305556,SXA,8/13/2019,0.354166667,C
B0049,74,229,FB8560,8/13/2019,0.274305556,SXA,8/13/2019,0.354166667,F
B0001,75,2563,FB1203,8/13/2019,0.364583333,FBX,8/13/2019,0.4375,C
B0049,75,2563,FB1203,8/13/2019,0.364583333,FBX,8/13/2019,0.4375,F
B0001,76,4442,FB748,8/13/2019,0.444444444,GOQ,8/13/2019,0.489583333,C
B0049,76,4442,FB748,8/13/2019,0.444444444,GOQ,8/13/2019,0.489583333,F
B0001,77,10687,FB538,8/13/2019,0.736111111,OAX,8/13/2019,0.791666667,C
B0049,77,10687,FB538,8/13/2019,0.736111111,OAX,8/13/2019,0.791666667,F
B0001,78,12940,FB511,8/13/2019,0.829861111,HOM,8/13/2019,0.875,C
B0049,78,12940,FB511,8/13/2019,0.829861111,HOM,8/13/2019,0.875,F
B0001,79,1107,FB14,8/14/2019,0.3125,HOM,8/14/2019,0.364583333,C
B0049,79,1107,FB14,8/14/2019,0.3125,HOM,8/14/2019,0.364583333,F
B0001,80,3603,FB534,8/14/2019,0.40625,OAX,8/14/2019,0.461805556,C
B0049,80,3603,FB534,8/14/2019,0.40625,OAX,8/14/2019,0.461805556,F
B0001,81,6182,FB90,8/14/2019,0.513888889,HUK,8/14/2019,0.635416667,C
B0049,81,6182,FB90,8/14/2019,0.513888889,HUK,8/14/2019,0.635416667,F
B0001,82,8052,FB645,8/14/2019,0.618055556,TGD,8/14/2019,0.6875,C
B0049,82,8052,FB645,8/14/2019,0.618055556,TGD,8/14/2019,0.6875,F
B0001,83,9745,FB388,8/14/2019,0.697916667,YKJ,8/14/2019,0.760416667,C
B0049,83,9745,FB388,8/14/2019,0.697916667,YKJ,8/14/2019,0.760416667,F
B0001,84,11801,FB1272,8/14/2019,0.784722222,NOU,8/14/2019,0.868055556,C
B0049,84,11801,FB1272,8/14/2019,0.784722222,NOU,8/14/2019,0.868055556,F
B0001,85,1112,FB402,8/15/2019,0.3125,AXO,8/15/2019,0.357638889,C
B0049,85,1112,FB402,8/15/2019,0.3125,AXO,8/15/2019,0.357638889,F
B0001,86,3731,FB604,8/15/2019,0.413194444,XMH,8/15/2019,0.482638889,C
B0049,86,3731,FB604,8/15/2019,0.413194444,XMH,8/15/2019,0.482638889,F
B0001,87,5637,FB775,8/15/2019,0.496527778,HOM,8/15/2019,0.576388889,C
B0049,87,5637,FB775,8/15/2019,0.496527778,HOM,8/15/2019,0.576388889,F
B0001,88,8741,FB88,8/15/2019,0.649305556,MMY,8/15/2019,0.767361111,C
B0049,88,8741,FB88,8/15/2019,0.649305556,MMY,8/15/2019,0.767361111,F
B0001,89,12291,FB630,8/15/2019,0.802083333,XSJ,8/15/2019,0.878472222,C
B0049,89,12291,FB630,8/15/2019,0.802083333,XSJ,8/15/2019,0.878472222,F
B0001,90,13803,FB84,8/15/2019,0.892361111,NOU,8/15/2019,0.958333333,C
B0049,90,13803,FB84,8/15/2019,0.892361111,NOU,8/15/2019,0.958333333,F
B0001,91,13953,FB1100,8/15/2019,0.965277778,TUK,8/16/2019,0.0416666667,C
B0049,91,13953,FB1100,8/15/2019,0.965277778,TUK,8/16/2019,0.0416666667,F
B0001,92,35,FB8567,8/16/2019,0.0243055556,XXJ,8/16/2019,0.100694444,C
B0049,92,35,FB8567,8/16/2019,0.0243055556,XXJ,8/16/2019,0.100694444,F
B0001,93,232,FB8560,8/16/2019,0.274305556,SXA,8/16/2019,0.354166667,C
B0049,93,232,FB8560,8/16/2019,0.274305556,SXA,8/16/2019,0.354166667,F
B0001,94,2566,FB1203,8/16/2019,0.364583333,FBX,8/16/2019,0.4375,C
B0049,94,2566,FB1203,8/16/2019,0.364583333,FBX,8/16/2019,0.4375,F
B0001,95,4445,FB748,8/16/2019,0.444444444,GOQ,8/16/2019,0.489583333,C
B0049,95,4445,FB748,8/16/2019,0.444444444,GOQ,8/16/2019,0.489583333,F
B0001,96,10696,FB538,8/16/2019,0.736111111,OAX,8/16/2019,0.791666667,C
B0049,96,10696,FB538,8/16/2019,0.736111111,OAX,8/16/2019,0.791666667,F
B0001,97,12943,FB511,8/16/2019,0.829861111,HOM,8/16/2019,0.875,C
B0049,97,12943,FB511,8/16/2019,0.829861111,HOM,8/16/2019,0.875,F
B0001,98,1116,FB14,8/17/2019,0.3125,HOM,8/17/2019,0.364583333,C
B0049,98,1116,FB14,8/17/2019,0.3125,HOM,8/17/2019,0.364583333,F
B0001,99,3606,FB534,8/17/2019,0.40625,OAX,8/17/2019,0.461805556,C
B0049,99,3606,FB534,8/17/2019,0.40625,OAX,8/17/2019,0.461805556,F
B0001,100,6191,FB90,8/17/2019,0.513888889,HUK,8/17/2019,0.635416667,C
B0049,100,6191,FB90,8/17/2019,0.513888889,HUK,8/17/2019,0.635416667,F
B0001,101,8055,FB645,8/17/2019,0.618055556,TGD,8/17/2019,0.6875,C
B0049,101,8055,FB645,8/17/2019,0.618055556,TGD,8/17/2019,0.6875,F
B0001,102,9751,FB388,8/17/2019,0.697916667,YKJ,8/17/2019,0.760416667,C
B0049,102,9751,FB388,8/17/2019,0.697916667,YKJ,8/17/2019,0.760416667,F
B0001,103,11804,FB1272,8/17/2019,0.784722222,NOU,8/17/2019,0.868055556,C
B0049,103,11804,FB1272,8/17/2019,0.784722222,NOU,8/17/2019,0.868055556,F
B0001,104,1121,FB402,8/18/2019,0.3125,AXO,8/18/2019,0.357638889,C
B0049,104,1121,FB402,8/18/2019,0.3125,AXO,8/18/2019,0.357638889,F
B0001,105,3734,FB604,8/18/2019,0.413194444,XMH,8/18/2019,0.482638889,C
B0049,105,3734,FB604,8/18/2019,0.413194444,XMH,8/18/2019,0.482638889,F
B0001,106,5640,FB775,8/18/2019,0.496527778,HOM,8/18/2019,0.576388889,C
B0049,106,5640,FB775,8/18/2019,0.496527778,HOM,8/18/2019,0.576388889,F
B0001,107,8744,FB88,8/18/2019,0.649305556,MMY,8/18/2019,0.767361111,C
B0049,107,8744,FB88,8/18/2019,0.649305556,MMY,8/18/2019,0.767361111,F
B0001,108,12297,FB630,8/18/2019,0.802083333,XSJ,8/18/2019,0.878472222,C
B0049,108,12297,FB630,8/18/2019,0.802083333,XSJ,8/18/2019,0.878472222,F
B0001,109,13954,FB1100,8/18/2019,0.965277778,TUK,8/19/2019,0.0416666667,C
B0049,109,13954,FB1100,8/18/2019,0.965277778,TUK,8/19/2019,0.0416666667,F
B0001,110,5474,FB1606,8/19/2019,0.489583333,XNZ,8/19/2019,0.520833333,C
B0049,110,5474,FB1606,8/19/2019,0.489583333,XNZ,8/19/2019,0.520833333,F
B0002,1,430,FB51,8/1/2019,0.291666667,TGD,8/1/2019,0.354166667,C
B0050,1,430,FB51,8/1/2019,0.291666667,TGD,8/1/2019,0.354166667,F
B0002,2,2640,FB281,8/1/2019,0.368055556,TGD,8/1/2019,0.420138889,C
B0050,2,2640,FB281,8/1/2019,0.368055556,TGD,8/1/2019,0.420138889,F
B0002,3,4399,FB1734,8/1/2019,0.444444444,SXA,8/1/2019,0.53125,C
B0050,3,4399,FB1734,8/1/2019,0.444444444,SXA,8/1/2019,0.53125,F
B0002,4,6299,FB796,8/1/2019,0.520833333,SHO,8/1/2019,0.586805556,C
B0050,4,6299,FB796,8/1/2019,0.520833333,SHO,8/1/2019,0.586805556,F
B0002,5,8269,FB1102,8/1/2019,0.625,OOJ,8/1/2019,0.677083333,C
B0050,5,8269,FB1102,8/1/2019,0.625,OOJ,8/1/2019,0.677083333,F
B0002,6,10653,FB1104,8/1/2019,0.736111111,HWJ,8/1/2019,0.805555556,C
B0050,6,10653,FB1104,8/1/2019,0.736111111,HWJ,8/1/2019,0.805555556,F
B0002,7,12827,FB273,8/1/2019,0.822916667,TGD,8/1/2019,0.902777778,C
B0050,7,12827,FB273,8/1/2019,0.822916667,TGD,8/1/2019,0.902777778,F
B0002,8,13898,FB988,8/1/2019,0.909722222,NOU,8/1/2019,0.979166667,C
B0050,8,13898,FB988,8/1/2019,0.909722222,NOU,8/1/2019,0.979166667,F
B0002,9,25,FB8567,8/2/2019,0.0243055556,XXJ,8/2/2019,0.100694444,C
B0050,9,25,FB8567,8/2/2019,0.0243055556,XXJ,8/2/2019,0.100694444,F
B0002,10,222,FB8560,8/2/2019,0.274305556,SXA,8/2/2019,0.354166667,C
B0050,10,222,FB8560,8/2/2019,0.274305556,SXA,8/2/2019,0.354166667,F
B0002,11,2552,FB1203,8/2/2019,0.364583333,FBX,8/2/2019,0.4375,C
B0050,11,2552,FB1203,8/2/2019,0.364583333,FBX,8/2/2019,0.4375,F
B0002,12,4431,FB748,8/2/2019,0.444444444,GOQ,8/2/2019,0.489583333,C
B0050,12,4431,FB748,8/2/2019,0.444444444,GOQ,8/2/2019,0.489583333,F
B0002,13,10654,FB538,8/2/2019,0.736111111,OAX,8/2/2019,0.791666667,C
B0050,13,10654,FB538,8/2/2019,0.736111111,OAX,8/2/2019,0.791666667,F
B0002,14,12905,FB321,8/2/2019,0.829861111,TGD,8/2/2019,0.868055556,C
B0050,14,12905,FB321,8/2/2019,0.829861111,TGD,8/2/2019,0.868055556,F
B0002,15,1074,FB14,8/3/2019,0.3125,HOM,8/3/2019,0.364583333,C
B0050,15,1074,FB14,8/3/2019,0.3125,HOM,8/3/2019,0.364583333,F
B0002,16,3592,FB534,8/3/2019,0.40625,OAX,8/3/2019,0.461805556,C
B0050,16,3592,FB534,8/3/2019,0.40625,OAX,8/3/2019,0.461805556,F
B0002,17,6149,FB90,8/3/2019,0.513888889,HUK,8/3/2019,0.635416667,C
B0050,17,6149,FB90,8/3/2019,0.513888889,HUK,8/3/2019,0.635416667,F
B0002,18,8042,FB645,8/3/2019,0.618055556,TGD,8/3/2019,0.6875,C
B0050,18,8042,FB645,8/3/2019,0.618055556,TGD,8/3/2019,0.6875,F
B0002,19,9996,FB72,8/3/2019,0.708333333,NOU,8/3/2019,0.774305556,C
B0050,19,9996,FB72,8/3/2019,0.708333333,NOU,8/3/2019,0.774305556,F
B0002,20,12072,FB38,8/3/2019,0.791666667,HOM,8/3/2019,0.84375,C
B0050,20,12072,FB38,8/3/2019,0.791666667,HOM,8/3/2019,0.84375,F
B0002,21,1431,FB492,8/4/2019,0.319444444,GKS,8/4/2019,0.371527778,C
B0050,21,1431,FB492,8/4/2019,0.319444444,GKS,8/4/2019,0.371527778,F
B0002,22,3961,FB643,8/4/2019,0.416666667,TGD,8/4/2019,0.486111111,C
B0050,22,3961,FB643,8/4/2019,0.416666667,TGD,8/4/2019,0.486111111,F
B0002,23,6304,FB62,8/4/2019,0.520833333,NOU,8/4/2019,0.586805556,C
B0050,23,6304,FB62,8/4/2019,0.520833333,NOU,8/4/2019,0.586805556,F
B0002,24,8001,FB592,8/4/2019,0.611111111,MYJ,8/4/2019,0.673611111,C
B0050,24,8001,FB592,8/4/2019,0.611111111,MYJ,8/4/2019,0.673611111,F
B0002,25,10337,FB427,8/4/2019,0.722222222,HOM,8/4/2019,0.774305556,C
B0050,25,10337,FB427,8/4/2019,0.722222222,HOM,8/4/2019,0.774305556,F
B0002,26,12861,FB558,8/4/2019,0.822916667,TXD,8/4/2019,0.881944444,C
B0050,26,12861,FB558,8/4/2019,0.822916667,TXD,8/4/2019,0.881944444,F
B0002,27,700,FB583,8/5/2019,0.298611111,TGD,8/5/2019,0.357638889,C
B0050,27,700,FB583,8/5/2019,0.298611111,TGD,8/5/2019,0.357638889,F
B0002,28,2644,FB281,8/5/2019,0.368055556,TGD,8/5/2019,0.420138889,C
B0050,28,2644,FB281,8/5/2019,0.368055556,TGD,8/5/2019,0.420138889,F
B0002,29,4403,FB1734,8/5/2019,0.444444444,SXA,8/5/2019,0.53125,C
B0050,29,4403,FB1734,8/5/2019,0.444444444,SXA,8/5/2019,0.53125,F
B0002,30,6307,FB796,8/5/2019,0.520833333,SHO,8/5/2019,0.586805556,C
B0050,30,6307,FB796,8/5/2019,0.520833333,SHO,8/5/2019,0.586805556,F
B0002,31,12831,FB273,8/5/2019,0.822916667,TGD,8/5/2019,0.902777778,C
B0050,31,12831,FB273,8/5/2019,0.822916667,TGD,8/5/2019,0.902777778,F
B0002,32,77,FB8558,8/6/2019,0.201388889,SXA,8/6/2019,0.291666667,C
B0050,32,77,FB8558,8/6/2019,0.201388889,SXA,8/6/2019,0.291666667,F
B0002,33,5448,FB1606,8/6/2019,0.489583333,XNZ,8/6/2019,0.520833333,C
B0050,33,5448,FB1606,8/6/2019,0.489583333,XNZ,8/6/2019,0.520833333,F
B0002,34,8241,FB69,8/6/2019,0.625,TGD,8/6/2019,0.6875,C
B0050,34,8241,FB69,8/6/2019,0.625,TGD,8/6/2019,0.6875,F
B0002,35,9885,FB388,8/6/2019,0.704861111,YKJ,8/6/2019,0.767361111,C
B0050,35,9885,FB388,8/6/2019,0.704861111,YKJ,8/6/2019,0.767361111,F
B0002,36,12712,FB599,8/6/2019,0.819444444,TGD,8/6/2019,0.878472222,C
B0050,36,12712,FB599,8/6/2019,0.819444444,TGD,8/6/2019,0.878472222,F
B0002,37,13903,FB988,8/6/2019,0.909722222,NOU,8/6/2019,0.979166667,C
B0050,37,13903,FB988,8/6/2019,0.909722222,NOU,8/6/2019,0.979166667,F
B0002,38,28,FB8567,8/7/2019,0.0243055556,XXJ,8/7/2019,0.100694444,C
B0050,38,28,FB8567,8/7/2019,0.0243055556,XXJ,8/7/2019,0.100694444,F
B0002,39,225,FB8560,8/7/2019,0.274305556,SXA,8/7/2019,0.354166667,C
B0050,39,225,FB8560,8/7/2019,0.274305556,SXA,8/7/2019,0.354166667,F
B0002,40,2557,FB1203,8/7/2019,0.364583333,FBX,8/7/2019,0.4375,C
B0050,40,2557,FB1203,8/7/2019,0.364583333,FBX,8/7/2019,0.4375,F
B0002,41,4436,FB748,8/7/2019,0.444444444,GOQ,8/7/2019,0.489583333,C
B0050,41,4436,FB748,8/7/2019,0.444444444,GOQ,8/7/2019,0.489583333,F
B0002,42,10669,FB538,8/7/2019,0.736111111,OAX,8/7/2019,0.791666667,C
B0050,42,10669,FB538,8/7/2019,0.736111111,OAX,8/7/2019,0.791666667,F
B0002,43,12910,FB321,8/7/2019,0.829861111,TGD,8/7/2019,0.868055556,C
B0050,43,12910,FB321,8/7/2019,0.829861111,TGD,8/7/2019,0.868055556,F
B0002,44,1089,FB14,8/8/2019,0.3125,HOM,8/8/2019,0.364583333,C
B0050,44,1089,FB14,8/8/2019,0.3125,HOM,8/8/2019,0.364583333,F
